ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Tursunov D.,Henman T.,152,9,3,6,6,2,3,6,6,3,8,6,3,2,Completed,7,1.08,6,1.13,5.2,1.15,4,1.15,7.28,1.14
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Mirnyi M.,Rochus O.,36,35,7,6,6,2,7,6,,,,,3,0,Completed,1.5,2.5,1.57,2.4,1.55,2.35,1.55,2.1,1.55,2.73
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Popp A.,Arthurs W.,134,85,6,3,6,7,3,6,7,6,14,12,3,2,Completed,2.37,1.53,2.6,1.5,2.3,1.6,2.2,1.5,2.6,1.59
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Muller G.,Nadal R.,69,3,6,4,4,6,6,3,6,4,,,3,1,Completed,8,1.06,6.5,1.11,5.84,1.11,4,1.15,8,1.13
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Coria G.,Malisse X.,18,51,3,6,6,3,7,5,6,7,6,4,3,2,Completed,1.72,2,1.77,2.05,1.7,2.1,1.55,2.1,1.79,2.17
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Johansson T.,Pavel A.,22,41,3,6,7,6,6,4,7,6,,,3,1,Completed,1.22,4,1.25,4,1.22,4,1.25,3.2,1.29,4.11
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Melzer J.,Calatrava A.,38,125,6,4,6,4,6,1,,,,,3,0,Completed,1.08,7,1.1,7,1.1,6.75,1.15,4,1.13,8.1
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Tipsarevic J.,Lu Y.H.,108,153,2,6,6,3,6,2,4,6,7,5,3,2,Completed,1.83,1.83,2.05,1.77,2,1.75,1.8,1.8,2.22,1.76
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Grosjean S.,Hanescu V.,27,60,6,3,6,4,6,2,,,,,3,0,Completed,1.22,4,1.3,3.5,1.3,3.35,1.3,2.9,1.29,4.1
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Djokovic N.,Garcia-Lopez G.,128,81,3,6,3,6,7,6,7,6,6,4,3,2,Completed,1.66,2.1,1.65,2.25,1.65,2.15,1.6,2,1.63,2.5
